,tp,t2m,t2m_d18O,t2m_dexc,decimalyear
2004-04-09,0.00238418578,216.45160124999998,-58.782215387499996,-58.782215387499996,2004.2704918032787
2004-04-10,0.0014305114800000002,216.94536875000003,-58.54026931249997,-58.54026931249997,2004.2732240437158
2004-04-11,0.01859664886,218.93038249999998,-57.567612575,-57.567612575,2004.275956284153
2004-04-12,0.00810623158,217.72175291666667,-58.15984107083332,-58.15984107083332,2004.27868852459
2004-04-13,0.0014305114800000002,214.33998875,-59.816905512499986,-59.816905512499986,2004.2814207650274
2004-04-14,0.0033378600600000004,212.83534583333335,-60.554180541666646,-60.554180541666646,2004.2841530054645
2004-04-15,0.0,210.86695333333333,-61.518692866666655,-61.518692866666655,2004.2868852459017
2004-04-16,0.0,210.30981875,-61.791688812499984,-61.791688812499984,2004.2896174863388
2004-04-17,0.0100135802,212.79781583333332,-60.57257024166667,-60.57257024166667,2004.292349726776
2004-04-18,0.013351440420000001,213.11791625,-60.415721037499985,-60.415721037499985,2004.295081967213
2004-04-19,0.12636184604,213.95734125,-60.004402787499984,-60.004402787499984,2004.2978142076502
2004-04-20,0.1912117012,220.61981375000002,-56.73979126249998,-56.73979126249998,2004.3005464480875
2004-04-21,0.025749206500000003,218.3033954166667,-57.87483624583331,-57.87483624583331,2004.3032786885246
2004-04-22,0.05960464476,218.74757875,-57.65718641249998,-57.65718641249998,2004.3060109289618
2004-04-23,0.0219345093,214.78411541666665,-59.59928344583333,-59.59928344583333,2004.308743169399
2004-04-24,0.0071525574199999995,216.000215,-59.00339464999999,-59.00339464999999,2004.311475409836
2004-04-25,0.0972747801,219.69686208333334,-57.19203757916665,-57.19203757916665,2004.3142076502731
2004-04-26,0.0972747792,223.13532,-55.50719319999999,-55.50719319999999,2004.3169398907103
2004-04-27,0.02336502066,219.2430975,-57.41438222499998,-57.41438222499998,2004.3196721311476
2004-04-28,0.00238418578,215.34086791666667,-59.32647472083332,-59.32647472083332,2004.3224043715848
2004-04-29,0.012397766060000003,213.73445791666666,-60.11361562083333,-60.11361562083333,2004.3251366120219
2004-04-30,0.0104904174,210.41932791666667,-61.73802932083332,-61.73802932083332,2004.327868852459
2004-05-01,0.017881393179999996,213.20247416666666,-60.37428765833332,-60.37428765833332,2004.3306010928961
2004-05-02,0.01382827742,214.60785541666667,-59.68565084583332,-59.68565084583332,2004.3333333333333
2004-05-03,0.018596649,214.92045416666667,-59.53247745833332,-59.53247745833332,2004.3360655737704
2004-05-04,0.00047683716000000004,211.09069333333332,-61.40906026666666,-61.40906026666666,2004.3387978142077
2004-05-05,0.0,212.649465,-60.64526214999999,-60.64526214999999,2004.3415300546449
2004-05-06,0.0,211.15531166666665,-61.37739728333333,-61.37739728333333,2004.344262295082
2004-05-07,0.0,210.79716291666668,-61.552890170833315,-61.552890170833315,2004.3469945355191
2004-05-08,0.0,209.70306791666667,-62.08899672083332,-62.08899672083332,2004.3497267759562
2004-05-09,0.0014305114800000002,211.75277333333335,-61.08464106666665,-61.08464106666665,2004.3524590163934
2004-05-10,0.0042915344200000006,213.9384770833333,-60.01364622916667,-60.01364622916667,2004.3551912568305
2004-05-11,0.03099441528,217.97612625,-58.03519813749999,-58.03519813749999,2004.3579234972678
2004-05-12,0.0052452087,214.33668875,-59.81852251249998,-59.81852251249998,2004.360655737705
2004-05-13,0.06389617942,217.43143958333334,-58.302094604166655,-58.302094604166655,2004.363387978142
2004-05-14,0.01907348628,216.41741208333335,-58.79896807916665,-58.79896807916665,2004.3661202185792
2004-05-15,0.017642974599999996,217.26563541666667,-58.38333864583332,-58.38333864583332,2004.3688524590164
2004-05-16,0.2627372742,222.51513624999998,-55.8110832375,-55.8110832375,2004.3715846994535
2004-05-17,0.036239624160000004,215.26129625,-59.3654648375,-59.3654648375,2004.3743169398906
2004-05-18,0.0,216.62859875,-58.695486612499984,-58.695486612499984,2004.377049180328
2004-05-19,0.0071525574000000005,220.01122083333334,-57.03800179166665,-57.03800179166665,2004.379781420765
2004-05-20,0.11014938308000001,219.28896166666667,-57.39190878333332,-57.39190878333332,2004.3825136612022
2004-05-21,0.01144409172,212.703585,-60.61874334999999,-60.61874334999999,2004.3852459016393
